method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage
1,4,1,50,1,2082010297,0.899787187576294,0.29213483146067415,1.0,0.52
2,4,1,50,1,2082010297,0.984078,0.424618,0.0,0.48
3,4,1,50,1,2082010297,0.7316060066223145,0.0,1.0,0.48
1,4,1,50,1,2028823690,0.7068779468536377,0.2830188679245283,1.0,0.6
2,4,1,50,1,2028823690,1.162636,0.357243,0.0,0.48
3,4,1,50,1,2028823690,0.7443649768829346,0.0,1.0,0.48
1,4,1,50,1,1913516427,0.5055019855499268,0.2926829268292683,1.0,0.48
2,4,1,50,1,1913516427,0.579717,0.392936,0.0,0.4
3,4,1,50,1,1913516427,0.37082910537719727,0.0,1.0,0.4
1,4,1,50,1,509447620,0.9211161136627197,0.3025210084033613,1.0,0.72
2,4,1,50,1,509447620,1.032646,0.367728,0.0,0.56
3,4,1,50,1,509447620,1.198477029800415,0.0,1.0,0.44
1,4,1,50,1,1779228821,0.5502490997314453,0.30612244897959184,1.0,0.6
2,4,1,50,1,1779228821,0.713788,0.356861,0.0,0.42
3,4,1,50,1,1779228821,0.5827901363372803,0.0,1.0,0.42
1,4,1,50,3,123242865,0.5873570442199707,0.26732673267326734,1.0,0.54
2,4,1,50,3,123242865,0.635293,0.400144,0.0,0.52
3,4,1,50,3,123242865,0.4490950107574463,0.0,1.0,0.52
1,4,1,50,3,1918581048,0.466019868850708,0.2857142857142857,1.0,0.56
2,4,1,50,3,1918581048,0.595953,0.367492,0.0,0.46
3,4,1,50,3,1918581048,0.4093601703643799,0.0,1.0,0.46
1,4,1,50,3,1471514561,0.5956242084503174,0.2755102040816326,1.0,0.54
2,4,1,50,3,1471514561,0.643086,0.410432,0.0,0.52
3,4,1,50,3,1471514561,0.42511916160583496,0.0,1.0,0.52
1,4,1,50,3,969914386,0.4498610496520996,0.2857142857142857,1.0,0.52
2,4,1,50,3,969914386,0.670463,0.407654,0.0,0.5
3,4,1,50,3,969914386,0.38640379905700684,0.0,1.0,0.36
1,4,1,50,3,830575937,0.737443208694458,0.2653061224489796,1.0,0.52
2,4,1,50,3,830575937,1.059405,0.398816,0.0,0.5
3,4,1,50,3,830575937,0.5534350872039795,0.0,1.0,0.5
1,4,1,200,1,131873283,1.9598312377929688,0.286783042394015,1.0,0.575
2,4,1,200,1,131873283,2.63955,0.350147,0.0,0.455
3,4,1,200,1,131873283,0.9513640403747559,0.0,1.0,0.41
1,4,1,200,1,1285594125,1.965505838394165,0.2641025641025641,1.0,0.515
2,4,1,200,1,1285594125,1.723023,0.383304,0.0,0.48
3,4,1,200,1,1285594125,0.43485116958618164,0.0,1.0,0.48
1,4,1,200,1,226141607,8.750083684921265,0.28708133971291866,1.0,0.6
2,4,1,200,1,226141607,2.443868,0.360392,0.0,0.465
3,4,1,200,1,226141607,0.452800989151001,0.0,1.0,0.465
1,4,1,200,1,230420368,1.5167131423950195,0.2810304449648712,1.0,0.6
2,4,1,200,1,230420368,1.920949,0.366396,0.0,0.51
3,4,1,200,1,230420368,0.49106502532958984,0.0,1.0,0.425
1,4,1,200,1,1508325637,1.5783648490905762,0.2915601023017903,1.0,0.57
2,4,1,200,1,1508325637,1.315602,0.37061,0.0,0.445
3,4,1,200,1,1508325637,0.39977598190307617,0.0,1.0,0.445
1,4,1,200,3,164112152,1.7129900455474854,0.27722772277227725,1.0,0.56
2,4,1,200,3,164112152,2.106554,0.379717,0.0,0.48
3,4,1,200,3,164112152,0.43290281295776367,0.0,1.0,0.48
1,4,1,200,3,1346966635,1.319187879562378,0.28028503562945367,1.0,0.59
2,4,1,200,3,1346966635,1.479053,0.35855,0.0,0.47
3,4,1,200,3,1346966635,0.5573670864105225,0.0,1.0,0.47
1,4,1,200,3,1883356801,1.291214942932129,0.28074245939675174,1.0,0.605
2,4,1,200,3,1883356801,1.482564,0.354689,0.0,0.505
3,4,1,200,3,1883356801,0.3823223114013672,0.0,1.0,0.465
