method,dataset_size,T,queries_num,conditions,seed,runtime_sec,imp_R,diversity,query_coverage
1,100,20,200,1,1501480760,4.008597135543823,0.2197251274958942,4.7173434725156227e-07,0.815
1,100,20,200,1,1740741909,1.6136689186096191,0.21914045192733717,4.838656308958633e-07,0.82
1,100,20,200,1,56122913,7.252778053283691,0.22605829285218598,4.4454997960574616e-07,0.805
1,100,20,200,1,1097672221,4.575322866439819,0.21824193992835492,6.275684349965616e-07,0.79
1,100,20,200,1,2031229810,3.40375018119812,0.22140589569160998,5.051126942268169e-07,0.76
1,100,20,200,3,1075694145,3.7189598083496094,0.22305569925849283,2.932911281616768e-07,0.815
1,100,20,200,3,1669810519,1.7226309776306152,0.22369192130598578,5.337226119950245e-07,0.78
1,100,20,200,3,991506177,5.0137779712677,0.22397963821470776,3.6917223511512276e-07,0.775
1,100,20,200,3,427066462,1.6352291107177734,0.22029830276015772,5.787709214111203e-07,0.77
1,100,20,200,3,656152213,1.2375919818878174,0.22325167037861915,3.259522356469091e-07,0.8
1,500,100,200,1,1586520870,1.1782989501953125,0.21986524443831745,4.2447029546810455e-07,0.82
1,500,100,200,1,1049000952,0.9673159122467041,0.21687919291237773,5.689707465172944e-07,0.88
1,500,100,200,1,762875356,2.7001302242279053,0.222218410127972,4.166956164564084e-07,0.86
1,500,100,200,1,1675165523,4.769449949264526,0.22226542030798357,3.959690005883587e-07,0.84
1,500,100,200,1,2084463709,4.940554141998291,0.22500897021887334,4.263297395112886e-07,0.855
1,500,100,200,3,277593901,1.4994890689849854,0.21799566283906288,4.378616703659688e-07,0.79
1,500,100,200,3,1666130106,1.1670200824737549,0.21760251230801944,4.2182425818992897e-07,0.84
1,500,100,200,3,1097960417,1.1252632141113281,0.2233195441390474,3.9555152142600747e-07,0.87
1,500,100,200,3,602290669,4.347977876663208,0.2157940751202125,4.930486108278842e-07,0.805
1,500,100,200,3,384522271,1.361138105392456,0.21781187458305537,4.3882292377617205e-07,0.77
1,2000,400,200,1,824377202,1.2660942077636719,0.21929633380768623,4.500826977782424e-07,0.9
1,2000,400,200,1,231640210,1.0218360424041748,0.21513359131104634,7.542625476419929e-07,0.895
1,2000,400,200,1,735861666,1.1890039443969727,0.2208875557125167,5.228571827720074e-07,0.905
1,2000,400,200,1,1123577031,1.0508248805999756,0.21777025961552246,4.697895299443644e-07,0.85
1,2000,400,200,1,1225752944,1.1669971942901611,0.2248268855175679,4.916207231309144e-07,0.865
1,2000,400,200,3,1880638080,2.050414800643921,0.21427476787163074,5.915471776862802e-07,0.815
1,2000,400,200,3,743922090,1.1076133251190186,0.22068463219227968,4.501855672689459e-07,0.87
1,2000,400,200,3,1888210211,1.1174709796905518,0.22413425268155843,3.384233261405356e-07,0.8
1,2000,400,200,3,1228162092,4.757120132446289,0.22143501785379507,4.3880854216915566e-07,0.86
1,2000,400,200,3,1242516161,4.1967480182647705,0.21452418103659052,7.091788793989195e-07,0.86
