ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_encoded,Marital_Status_encoded,Dt_Customer_int
531,1954,57333.0,0,1,55,941,14,397,76,58,176,11,8,5,9,6,0,0,0,0,0,0,3,11,1,4,3,20120922
9750,1961,64325.0,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,3,11,0,4,3,20130207
3491,1975,55914.0,0,1,32,384,60,364,119,101,232,4,11,6,8,7,0,0,0,0,0,0,3,11,0,2,2,20130429
8957,1952,64831.0,1,1,51,480,86,249,75,86,144,8,6,3,5,6,0,0,0,0,0,0,3,11,0,3,5,20130610
2223,1965,64176.0,0,1,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,3,11,0,3,3,20120803
6749,1966,86358.0,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,3,11,0,2,5,20120808
5831,1967,77870.0,0,1,93,1017,50,500,65,50,133,3,5,5,5,8,0,1,0,1,0,0,3,11,1,2,1,20120822
5524,1957,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2,5,20120904
9451,1965,73538.0,0,1,92,811,76,428,99,137,107,3,10,4,9,7,0,0,0,0,0,0,3,11,0,2,1,20121125
10159,1970,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,3,11,0,2,3,20130331
8925,1965,70053.0,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,3,11,0,3,1,20130703
3599,1970,63684.0,0,1,61,575,80,428,208,93,80,3,8,4,8,5,0,0,0,0,0,0,3,11,0,2,1,20121126
380,1954,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,3,11,1,2,3,20120910
11112,1966,70713.0,0,1,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,3,11,0,2,2,20121203
9204,1970,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,2,4,20120912
6299,1968,42564.0,0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,0,3,11,1,4,3,20130102
269,1963,46757.0,0,1,71,777,30,163,0,51,122,6,4,4,7,9,0,0,0,0,0,0,3,11,0,4,5,20121116
3389,1970,69016.0,0,1,61,726,53,363,123,107,161,4,8,9,13,5,0,0,0,0,0,0,3,11,0,2,1,20121122
8852,1976,61064.0,0,1,80,387,126,342,0,45,180,5,8,4,11,6,0,0,0,0,0,0,3,11,0,2,1,20120831
1378,1972,50334.0,0,1,24,284,16,160,84,16,134,6,7,4,6,6,0,0,0,0,0,0,3,11,0,3,2,20130724
1907,1950,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,3,3,20120928
9500,1959,58113.0,0,1,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,3,11,0,2,1,20130125
9166,1968,63967.0,0,1,57,387,84,141,73,35,162,3,4,4,12,2,0,0,0,0,0,0,3,11,0,2,1,20130809
2021,1975,61456.0,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,3,11,0,2,1,20130327
6295,1977,54233.0,0,1,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,3,11,0,2,1,20130204
238,1967,67309.0,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,3,11,0,3,2,20130123
1518,1965,62694.0,1,1,29,379,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,3,11,0,3,1,20130617
4749,1968,58554.0,1,1,55,368,24,68,38,0,88,6,8,2,6,7,0,0,0,0,0,0,3,11,0,2,2,20120926
5407,1954,53103.0,0,1,70,729,17,133,11,0,195,5,10,6,7,7,1,0,0,0,0,0,3,11,0,2,2,20130912
6312,1959,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2,1,20130317
6658,1972,59868.0,0,1,37,771,51,154,54,10,154,7,11,2,12,6,0,0,0,0,0,0,3,11,0,2,2,20130722
1343,1968,58554.0,1,1,55,368,24,68,38,0,88,6,8,2,6,7,0,0,0,0,0,0,3,11,0,2,2,20120926
4369,1957,65487.0,0,0,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0,3,11,0,3,8,20140110
7118,1957,73803.0,0,1,61,833,80,363,52,26,174,2,9,5,6,6,1,0,0,0,0,0,3,11,1,2,1,20120801
7072,1973,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,3,11,0,2,1,20130329
6439,1958,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,0,2,1,20120817
5667,1964,60896.0,0,1,90,1013,30,399,60,46,153,3,9,10,4,6,0,0,0,0,0,0,3,11,1,4,1,20121011
