ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_encoded,Marital_Status_encoded,Dt_Customer_int
3491,1975,55914.0,0,1,32,384,60,364,119,101,232,4,11,6,8,7,0,0,0,0,0,0,3,11,0,2,2,20130429
4406,1970,67419.0,0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,3,11,0,2,2,20130116
8957,1952,64831.0,1,1,51,480,86,249,75,86,144,8,6,3,5,6,0,0,0,0,0,0,3,11,0,3,5,20130610
8717,1975,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0,4,1,20120912
9750,1961,64325.0,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,3,11,0,4,3,20130207
1092,1980,61014.0,0,1,17,269,129,495,182,43,29,4,9,3,4,7,0,0,0,0,0,0,3,11,0,2,1,20120811
9500,1959,58113.0,0,1,66,221,104,169,102,78,84,3,9,2,8,7,0,0,0,0,0,1,3,11,0,2,1,20130125
3599,1970,63684.0,0,1,61,575,80,428,208,93,80,3,8,4,8,5,0,0,0,0,0,0,3,11,0,2,1,20121126
7966,1959,80982.0,1,1,48,505,137,401,104,22,22,3,11,5,11,5,0,0,0,0,0,1,3,11,0,2,5,20130108
6749,1966,86358.0,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,3,11,0,2,5,20120808
7118,1957,73803.0,0,1,61,833,80,363,52,26,174,2,9,5,6,6,1,0,0,0,0,0,3,11,1,2,1,20120801
10858,1975,76532.0,1,1,38,355,30,177,90,138,30,4,9,5,7,5,0,0,0,0,0,0,3,11,0,2,2,20130909
4138,1962,76624.0,0,1,68,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,0,3,11,0,2,5,20140524
5524,1957,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,2,5,20120904
7072,1973,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,3,11,0,2,1,20130329
380,1954,64497.0,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,3,11,1,2,3,20120910
2223,1965,64176.0,0,1,52,1215,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,3,11,0,3,3,20120803
9204,1970,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,2,4,20120912
10156,1975,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,3,11,0,2,5,20130603
3852,1961,74881.0,1,1,48,505,72,270,36,27,54,4,9,2,12,5,0,0,0,0,0,0,3,11,0,3,2,20130308
1907,1950,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,3,3,20120928
9729,1955,58275.0,1,1,48,189,10,253,56,43,64,6,8,2,7,7,0,0,0,0,0,0,3,11,0,2,4,20130602
1000,1961,74881.0,1,1,48,505,72,270,36,27,54,4,9,2,12,5,0,0,0,0,0,0,3,11,0,3,2,20130308
7706,1975,46772.0,0,1,88,350,104,189,197,151,57,6,11,8,5,8,1,0,0,0,0,0,3,11,0,3,2,20121107
5989,1959,78353.0,0,1,51,752,122,476,39,153,34,1,10,2,11,8,0,0,0,0,0,0,3,11,0,3,3,20130416
9463,1959,71706.0,0,1,16,931,56,253,91,98,14,4,9,5,7,5,0,0,0,0,0,0,3,11,0,2,2,20121113
5113,1971,86979.0,0,0,67,584,100,835,65,83,35,1,5,5,5,2,1,0,0,0,0,0,3,11,1,4,3,20131107
6566,1954,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,4,1,20121108
1456,1979,60474.0,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,3,11,0,2,5,20130401
3478,1971,60585.0,1,1,17,267,42,309,55,42,21,10,7,4,9,5,0,0,0,0,0,0,3,11,1,4,1,20130624
6439,1958,61074.0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,0,2,1,20120817
6203,1947,74485.0,0,0,58,499,149,815,173,49,49,1,6,7,12,3,0,0,0,0,0,0,3,11,0,2,2,20130824
11112,1966,70713.0,0,1,23,736,114,279,82,76,190,6,5,6,8,3,0,0,0,0,0,0,3,11,0,2,2,20121203
3389,1970,69016.0,0,1,61,726,53,363,123,107,161,4,8,9,13,5,0,0,0,0,0,0,3,11,0,2,1,20121122
5721,1956,84117.0,0,0,60,611,76,749,59,45,26,1,7,10,6,2,0,0,1,0,0,0,3,11,0,4,1,20140511
5046,1958,78331.0,0,1,97,756,138,354,160,169,61,2,10,6,7,4,0,0,0,0,0,0,3,11,0,2,3,20140123
2849,1979,60474.0,0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,3,11,0,2,5,20130401
9451,1965,73538.0,0,1,92,811,76,428,99,137,107,3,10,4,9,7,0,0,0,0,0,0,3,11,0,2,1,20121125
10159,1970,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,3,11,0,2,3,20130331
4856,1957,82347.0,0,0,38,556,54,845,202,133,63,1,7,7,10,3,1,0,0,1,0,0,3,11,0,3,1,20121106
8601,1980,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2,1,20130429
9220,1971,91700.0,0,0,58,576,172,961,125,115,19,1,8,6,5,3,0,0,0,0,0,0,3,11,1,2,5,20130117
2963,1979,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,3,11,0,2,2,20140502
5848,1970,81205.0,0,0,43,724,74,929,97,55,130,1,5,6,7,2,1,0,1,0,1,0,3,11,1,2,2,20140113
2118,1964,62905.0,0,1,68,166,75,96,119,107,59,3,7,2,8,4,0,0,0,0,0,0,3,11,0,3,1,20130910
9153,1964,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,0,4,1,20130729
8985,1964,68316.0,0,1,54,806,80,161,120,11,33,5,10,7,10,6,0,0,0,0,0,0,3,11,0,3,2,20121104
6312,1959,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2,1,20130317
6658,1972,59868.0,0,1,37,771,51,154,54,10,154,7,11,2,12,6,0,0,0,0,0,0,3,11,0,2,2,20130722
965,1971,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,2,3,20121113
9167,1956,67131.0,0,1,72,465,71,250,93,35,62,3,9,2,12,6,0,0,0,0,0,0,3,11,0,2,1,20130326
9743,1955,76998.0,0,1,85,1449,89,161,69,35,107,2,11,8,8,6,0,0,1,0,0,0,3,11,0,2,1,20130111
8852,1976,61064.0,0,1,80,387,126,342,0,45,180,5,8,4,11,6,0,0,0,0,0,0,3,11,0,2,1,20120831
2429,1954,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,3,11,0,2,3,20130214
531,1954,57333.0,0,1,55,941,14,397,76,58,176,11,8,5,9,6,0,0,0,0,0,0,3,11,1,4,3,20120922
7723,1979,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,3,11,0,2,2,20140502
10177,1954,72071.0,0,1,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,3,11,0,2,3,20130214
7503,1976,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2,5,20121012
