ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_encoded,Marital_Status_encoded,Dt_Customer_int
8957,1952,64831.0,1,1,51,480,86,249,75,86,144,8,6,3,5,6,0,0,0,0,0,0,3,11,0,3,5,20130610
4656,1990,51250.0,1,0,28,342,32,230,34,32,40,5,10,5,4,9,1,0,0,0,0,0,3,11,0,3,5,20130330
6988,1986,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,2,1,20130110
6349,1987,61787.0,0,0,71,621,73,414,78,48,85,1,8,4,6,5,0,0,0,0,0,0,3,11,0,3,3,20130706
7072,1973,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,3,11,0,2,1,20130329
1357,1970,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2,2,20130408
175,1986,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,2,1,20130110
4749,1968,58554.0,1,1,55,368,24,68,38,0,88,6,8,2,6,7,0,0,0,0,0,0,3,11,0,2,2,20120926
1518,1965,62694.0,1,1,29,379,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,3,11,0,3,1,20130617
238,1967,67309.0,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,3,11,0,3,2,20130123
6637,1988,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0,2,5,20131102
3281,1960,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,3,11,0,4,1,20131103
4095,1971,37150.0,1,0,80,167,37,64,49,34,116,8,4,3,6,7,0,0,0,0,0,0,3,11,0,2,1,20120911
2963,1979,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,3,11,0,2,2,20140502
2591,1959,76320.0,0,1,49,526,35,214,69,53,35,2,6,3,4,2,0,0,0,0,0,0,3,11,0,2,4,20140622
7118,1957,73803.0,0,1,61,833,80,363,52,26,174,2,9,5,6,6,1,0,0,0,0,0,3,11,1,2,1,20120801
5236,1979,77568.0,0,1,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,3,11,0,2,2,20120825
8925,1965,70053.0,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,3,11,0,3,1,20130703
3599,1970,63684.0,0,1,61,575,80,428,208,93,80,3,8,4,8,5,0,0,0,0,0,0,3,11,0,2,1,20121126
4767,1965,70924.0,0,0,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,3,11,0,3,1,20140407
11101,1991,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,3,11,0,2,2,20130415
8310,1964,68142.0,0,1,96,897,126,196,91,112,37,3,10,4,7,6,0,0,0,0,0,0,3,11,0,2,2,20120829
6299,1968,42564.0,0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,0,3,11,1,4,3,20130102
10163,1984,82733.0,0,0,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,0,3,11,1,4,5,20130910
5831,1967,77870.0,0,1,93,1017,50,500,65,50,133,3,5,5,5,8,0,1,0,1,0,0,3,11,1,2,1,20120822
4478,1979,63777.0,1,1,87,457,5,106,15,17,53,8,11,1,6,8,0,0,0,0,0,0,3,11,0,2,1,20130324
10992,1967,75702.0,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,3,11,0,2,2,20120829
5955,1962,72025.0,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,3,11,0,2,2,20121117
9145,1972,72504.0,0,1,43,604,26,470,123,161,94,2,5,9,6,2,0,0,0,0,0,0,3,11,0,2,5,20130406
9967,1974,53034.0,1,1,30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,3,11,0,2,3,20130530
10702,1984,52413.0,1,0,67,185,8,133,56,56,12,2,7,1,7,7,0,0,0,0,0,0,3,11,0,2,5,20121103
2254,1983,69520.0,0,0,95,627,120,414,121,80,93,1,9,6,5,5,0,0,0,0,0,0,3,11,0,2,1,20130707
7108,1965,51390.0,1,1,54,205,20,47,23,2,56,6,5,2,5,5,0,0,0,0,0,0,3,11,0,3,4,20120908
4426,1975,55801.0,1,1,35,367,4,51,6,4,95,6,7,2,6,7,0,0,0,1,0,0,3,11,0,2,5,20130922
1440,1978,52513.0,0,0,84,367,17,241,104,188,232,2,9,5,9,7,0,0,0,0,0,0,3,11,0,3,2,20120904
5763,1972,49854.0,1,0,63,123,17,171,39,0,30,5,6,2,5,6,0,0,0,0,0,0,3,11,0,3,2,20131110
7352,1957,55267.0,0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,3,11,0,2,1,20131021
9265,1953,75027.0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,3,11,0,2,1,20130109
6566,1954,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,4,1,20121108
3507,1970,76467.0,1,0,44,676,161,426,210,44,58,2,2,5,5,6,0,0,0,0,0,0,3,11,1,2,5,20120817
7250,1978,57867.0,1,0,48,344,35,178,15,23,17,7,7,2,9,6,0,0,0,0,0,0,3,11,0,2,2,20131001
10841,1975,56559.0,0,1,46,226,22,133,41,31,31,3,4,3,8,4,0,0,0,0,0,0,3,11,0,4,2,20121225
4954,1956,48195.0,1,1,53,106,27,68,52,7,5,6,4,2,5,6,0,0,0,0,0,0,3,11,0,2,1,20140121
7059,1963,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,3,11,0,2,1,20140626
10928,1958,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,3,11,0,2,2,20130916
4698,1983,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,4,1,20130620
3433,1955,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,3,1,20130603
4369,1957,65487.0,0,0,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0,3,11,0,3,8,20140110
4786,1977,75330.0,1,1,94,555,82,257,93,61,61,4,10,3,12,6,0,0,0,0,0,0,3,11,0,2,1,20121004
9805,1953,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,3,2,20130620
5314,1951,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2,2,20130318
3037,1983,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,4,1,20130620
2882,1975,67893.0,0,1,31,711,28,142,49,18,47,2,3,2,9,8,0,0,0,0,0,0,3,11,0,3,3,20121001
1545,1986,38508.0,1,0,95,120,19,206,25,19,54,6,7,2,5,8,0,0,0,0,0,0,3,11,0,2,1,20130802
10479,1975,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,3,11,0,4,1,20121207
1915,1951,78939.0,0,0,57,794,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,3,11,0,4,1,20131212
11039,1975,51948.0,0,1,51,82,33,54,71,30,41,2,5,2,4,5,0,0,0,0,0,0,3,11,0,2,1,20130917
702,1975,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,3,11,0,3,4,20130215
3225,1984,42207.0,1,0,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,3,11,1,3,1,20130401
5341,1962,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,3,11,0,3,3,20130105
7321,1962,76081.0,0,0,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,3,11,0,2,2,20140523
6810,1983,82025.0,0,0,76,267,98,606,48,70,98,1,3,2,6,1,0,0,1,0,0,0,3,11,1,2,3,20130528
1717,1988,39747.0,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,3,11,0,2,5,20140413
7832,1959,77520.0,0,1,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,1,0,0,3,11,1,3,1,20130828
2415,1962,62568.0,0,1,99,362,17,398,80,35,61,3,5,3,5,4,0,0,0,1,0,0,3,11,0,2,2,20140407
2891,1963,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,2,3,20131018
10581,1977,41124.0,1,0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,3,11,0,2,1,20121031
6798,1966,37070.0,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,3,11,1,2,5,20130320
6059,1953,64504.0,1,2,81,986,36,168,16,0,108,7,11,3,4,7,0,0,0,0,0,0,3,11,1,4,2,20130304
5120,1982,66664.0,0,0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,3,11,0,3,2,20120925
6721,1951,71965.0,0,1,21,572,19,286,50,38,248,3,6,3,5,3,0,0,0,0,0,0,3,11,0,2,1,20130729
635,1966,57183.0,1,1,51,464,5,64,7,0,70,8,9,1,7,8,0,0,0,0,0,0,3,11,0,3,1,20130319
10448,1956,46998.0,0,1,55,172,41,86,45,6,27,5,5,3,5,7,1,0,0,0,0,0,3,11,0,2,5,20121022
4702,1964,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,3,11,0,2,5,20120812
3523,1962,75072.0,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,3,11,0,2,2,20130123
1509,1958,84460.0,0,0,80,152,27,103,106,54,81,0,9,9,4,5,0,1,1,1,1,0,3,11,1,4,2,20130104
8588,1961,60544.0,1,1,92,201,2,43,3,5,35,4,5,1,5,6,0,0,0,0,0,0,3,11,0,2,1,20120825
5043,1951,26997.0,0,0,89,7,23,78,133,49,144,2,4,2,5,7,0,0,0,0,0,0,3,11,0,1,1,20121105
1911,1987,67430.0,0,0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,3,11,0,2,2,20120905
7431,1991,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,4,5,20121110
1553,1946,82657.0,0,0,71,966,168,672,246,105,126,1,7,5,10,4,0,1,0,1,0,0,3,11,0,2,2,20130927
6295,1977,54233.0,0,1,46,652,8,158,21,0,142,4,11,6,5,8,0,0,0,0,0,0,3,11,0,2,1,20130204
6875,1965,32727.0,0,0,38,167,13,180,86,13,70,2,7,3,5,8,0,0,0,0,0,0,3,11,0,4,2,20120828
8685,1977,42014.0,1,0,56,244,15,108,4,15,50,6,7,1,6,8,0,0,0,0,0,0,3,11,1,2,1,20120817
1052,1969,56796.0,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,3,11,0,2,1,20130216
7631,1978,61346.0,1,0,34,562,58,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,3,11,0,3,2,20131006
2131,1959,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,3,11,0,4,3,20121230
