ID,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_encoded,Marital_Status_encoded,Dt_Customer_int
8957,1952,64831.0,1,1,51,480,86,249,75,86,144,8,6,3,5,6,0,0,0,0,0,0,3,11,0,3,5,20130610
3599,1970,63684.0,0,1,61,575,80,428,208,93,80,3,8,4,8,5,0,0,0,0,0,0,3,11,0,2,1,20121126
6349,1987,61787.0,0,0,71,621,73,414,78,48,85,1,8,4,6,5,0,0,0,0,0,0,3,11,0,3,3,20130706
4767,1965,70924.0,0,0,41,635,114,254,132,152,76,1,6,6,7,3,0,0,1,0,0,0,3,11,0,3,1,20140407
3507,1970,76467.0,1,0,44,676,161,426,210,44,58,2,2,5,5,6,0,0,0,0,0,0,3,11,1,2,5,20120817
6988,1986,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,2,1,20130110
2963,1979,75507.0,0,0,56,709,93,374,104,80,80,1,8,6,6,3,0,0,0,0,0,0,3,11,0,2,2,20140502
7072,1973,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,3,11,0,2,1,20130329
1357,1970,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2,2,20130408
7059,1963,80124.0,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,3,11,0,2,1,20140626
8925,1965,70053.0,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,3,11,0,3,1,20130703
2254,1983,69520.0,0,0,95,627,120,414,121,80,93,1,9,6,5,5,0,0,0,0,0,0,3,11,0,2,1,20130707
6072,1970,75345.0,0,0,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,0,3,11,1,3,5,20130202
